Method,N_Components,Variance_Explained_%,Train_F1_Mean,Test_F1_Mean,Test_F1_Std,Test_Precision,Test_Recall,Test_AUC,Overfitting_Gap
PCA,3,46.73,0.9585,0.5172,0.0162,0.5486,0.5205,0.8097,0.4413
PCA,5,58.52,0.9573,0.5444,0.0139,0.5835,0.5466,0.8362,0.4129
PCA,10,79.99,0.956,0.5758,0.0084,0.6233,0.5796,0.8609,0.3802
PCA,15,93.86,0.9473,0.5802,0.015,0.6429,0.587,0.867,0.3671
PCA,20,99.87,0.9514,0.5842,0.0026,0.6563,0.5929,0.8721,0.3672
PCA,25,100.0,0.9563,0.5899,0.0091,0.6633,0.598,0.8743,0.3664
LDA,2,99.12,0.9103,0.5349,0.0096,0.5527,0.5389,0.8193,0.3753
LDA,3,100.0,0.9303,0.5569,0.0082,0.5873,0.5612,0.8341,0.3734
